Target Latitude,Target Longitude,Hello
48.83,1.43,Unique
49.05,1.45,Unique
49.5,1.45,Unique
49.85,1.45,Unique
49.88,1.45,Unique
50.12,1.47,Unique
49.1,1.48,Unique
48.45,1.5,Unique
49.08,1.5,Unique
49.53,1.5,Unique
50.02,1.5,Unique
40.78,1.52,Unique
49.87,1.52,Unique
48.47,1.53,Unique
48.5,1.53,Unique
48.65,1.53,Unique
49.38,1.53,Unique
49.62,1.55,Unique
48.58,1.57,Unique
49.03,1.57,Unique
50,1.57,Unique
50.4,1.57,Unique
50.67,1.57,Unique
48.47,1.58,Unique
50.56,1.58,Unique
50.58,1.58,Unique
50.63,1.58,Unique
50.87,1.58,Unique
50.82,1.59,Unique
49.53,1.6,Unique
49.83,1.6,Unique
50.53,1.6,Unique
50.87,1.6,Unique
48.8,1.62,Unique
49.87,1.62,Unique
50.45,1.62,Unique
50.57,1.62,Unique
50.58,1.62,Unique
50.77,1.62,Unique
50.8,1.62,Unique
50.85,1.62,Unique
47.78,1.63,Unique
50.52,1.65,Unique
50.62,1.65,Unique
48.62,1.67,Unique
48.75,1.67,Unique
49.82,1.67,Unique
50.88,1.67,Unique
46.8,1.68,Unique
50.03,1.68,Unique
48.53,1.7,Unique
49,1.7,Unique
49.77,1.7,Unique
50.8,1.7,Unique
48.98,1.72,Unique
50.8,1.72,Unique
50.92,1.72,Unique
47.37,1.73,Unique
50.93,1.73,Unique
49.08,1.74,Unique
37.75,1.75,Unique
43.13,1.75,Unique
49,1.75,Unique
50.05,1.75,Unique
49.7,1.77,Unique
50.47,1.77,Unique
50.85,1.77,Unique
49.95,1.78,Unique
49.99,1.79,Unique
48.95,1.8,Unique
50.52,1.8,Unique
50.1,1.83,Unique
50.23,1.83,Unique
50.67,1.83,Unique
48.98,1.85,Unique
50.87,1.87,Unique
50.97,1.87,Unique
51.07,1.87,Unique
45.13,1.88,Unique
48.3,1.88,Unique
49.65,1.88,Unique
50.28,1.88,Unique
50.3,1.88,Unique
50.37,1.88,Unique
50.4,1.88,Unique
47.9,1.9,Unique
49.02,1.9,Unique
49.72,1.93,Unique
50.87,1.93,Unique
50.18,1.95,Unique
50.37,1.95,Unique
50.95,1.95,Unique
49.02,1.97,Unique
49.57,1.97,Unique
50.33,1.97,Unique
50.5,1.97,Unique
50.84,1.97,Unique
50.85,1.97,Unique
49.78,1.98,Unique
50.2,1.98,Unique
44,2,Unique
45.28,2,Unique
46,2,Unique
47.15,2,Unique
48.67,2,Unique
48.77,2,Unique
48.9,2,Unique
49.33,2,Unique
50,2,Unique
50.07,2,Unique
50.17,2,Unique
50.28,2,Unique
50.32,2,Unique
48.65,2.02,Unique
50.08,2.02,Unique
50.23,2.02,Unique
48.35,2.03,Unique
50.5,2.03,Unique
50.53,2.03,Unique
50.75,2.03,Unique
50.78,2.03,Unique
47.45,2.05,Unique
48.88,2.05,Unique
50.1,2.05,Unique
50.37,2.05,Unique
50.67,2.05,Unique
50.55,2.06,Unique
47.65,2.07,Unique
48.77,2.07,Unique
48.8,2.07,Unique
49.63,2.07,Unique
50.18,2.07,Unique
50.23,2.07,Unique
50.53,2.07,Unique
50.83,2.07,Unique
43.87,2.08,Unique
49.05,2.08,Unique
50.03,2.08,Unique
50.17,2.08,Unique
50.02,2.1,Unique
50.17,2.1,Unique
50.28,2.1,Unique
51,2.11,Unique
42.52,2.12,Unique
48.8,2.13,Unique
48.95,2.13,Unique
50.15,2.13,Unique
50.23,2.13,Unique
50.27,2.13,Unique
50.42,2.13,Unique
50.48,2.13,Unique
50.52,2.13,Unique
50.6,2.13,Unique
50.7,2.13,Unique
50.98,2.13,Unique
50.17,2.15,Unique
48.43,2.17,Unique
49.45,2.17,Unique
50.57,2.17,Unique
50.77,2.17,Unique
50.8,2.17,Unique
50.83,2.17,Unique
45.32,2.18,Unique
50.4,2.18,Unique
50.47,2.18,Unique
48.77,2.2,Unique
48.87,2.2,Unique
49.07,2.2,Unique
50.2,2.2,Unique
50.33,2.2,Unique
50.38,2.2,Unique
50.67,2.2,Unique
50.87,2.2,Unique
47.72,2.22,Unique
50.03,2.22,Unique
50.33,2.22,Unique
50.52,2.22,Unique
50.83,2.22,Unique
51.03,2.22,Unique
49.1,2.23,Unique
49.17,2.23,Unique
50.12,2.23,Unique
50.13,2.23,Unique
50.53,2.23,Unique
50.2,2.25,Unique
50.75,2.25,Unique
44.18,2.27,Unique
47.1,2.27,Unique
50.3,2.27,Unique
50.37,2.27,Unique
50.47,2.27,Unique
50.6,2.27,Unique
48.3,2.28,Unique
49.13,2.28,Unique
50.23,2.28,Unique
50.68,2.28,Unique
48.62,2.3,Unique
49.9,2.3,Unique
50.28,2.3,Unique
50.53,2.3,Unique
50.67,2.3,Unique
50.73,2.3,Unique
51.03,2.3,Unique
48.9,2.32,Unique
46.33,2.33,Unique
48.93,2.33,Unique
49.98,2.33,Unique
50.32,2.33,Unique
50.38,2.33,Unique
50.5,2.33,Unique
50.7,2.33,Unique
50.15,2.35,Unique
47.77,2.37,Unique
50.57,2.37,Unique
50.6,2.37,Unique
50.63,2.37,Unique
50.73,2.37,Unique
51.03,2.37,Unique
47.08,2.38,Unique
48.68,2.38,Unique
49.47,2.38,Unique
50.4,2.38,Unique
47.2,2.4,Unique
48.73,2.4,Unique
50.35,2.4,Unique
51.05,2.4,Unique
49.22,2.42,Unique
49.38,2.42,Unique
50.52,2.42,Unique
48.96,2.43,Unique
49.25,2.43,Unique
49.93,2.43,Unique
50.8,2.43,Unique
48.62,2.47,Unique
49.25,2.47,Unique
50.68,2.47,Unique
48.75,2.48,Unique
50.52,2.48,Unique
49.17,2.5,Unique
50.13,2.5,Unique
50.17,2.5,Unique
49.92,2.53,Unique
50.72,2.53,Unique
48.37,2.57,Unique
50.53,2.57,Unique
50.67,2.57,Unique
49.65,2.58,Unique
49.83,2.6,Unique
50.35,2.6,Unique
50.5,2.6,Unique
46.33,2.62,Unique
47.7,2.62,Unique
48.7,2.62,Unique
50.45,2.62,Unique
47.03,2.63,Unique
48.87,2.63,Unique
50.53,2.63,Unique
50.63,2.63,Unique
47.95,2.65,Unique
48.53,2.65,Unique
51.1,2.65,Unique
48.62,2.67,Unique
49.98,2.67,Unique
51.07,2.67,Unique
45.05,2.7,Unique
48.35,2.7,Unique
49.82,2.7,Unique
49.3,2.73,Unique
49.35,2.73,Unique
50.13,2.75,Unique
50.17,2.77,Unique
50.28,2.77,Unique
49.15,2.8,Unique
49.7,2.8,Unique
49.83,2.8,Unique
49.42,2.83,Unique
50.43,2.83,Unique
51.2,2.85,Unique
47.53,2.88,Unique
50.2,2.88,Unique
50.67,2.88,Unique
50.87,2.88,Unique
51.03,2.88,Unique
50.47,2.9,Unique
49.77,2.92,Unique
49.93,2.92,Unique
48.38,2.95,Unique
49.93,2.95,Unique
51.22,2.95,Unique
50.42,2.97,Unique
51.13,2.97,Unique
49.87,2.98,Unique
50.33,2.98,Unique
46.67,3,Unique
48.67,3,Unique
49,3,Unique
49.15,3,Unique
50.77,3,Unique
49.58,3.02,Unique
46.6,3.07,Unique
50.63,3.07,Unique
50.8,3.07,Unique
48.82,3.08,Unique
49.75,3.08,Unique
50.37,3.08,Unique
49.3,3.12,Unique
47,3.15,Unique
48.25,3.16,Unique
50.59,3.17,Unique
50.72,3.17,Unique
50.8,3.18,Unique
51.32,3.2,Unique
43.13,3.23,Unique
43.35,3.23,Unique
49.63,3.23,Unique
49.73,3.23,Unique
50.18,3.23,Unique
51.03,3.23,Unique
47.92,3.27,Unique
49.65,3.27,Unique
50.83,3.27,Unique
48.97,3.28,Unique
49.65,3.28,Unique
50.47,3.28,Unique
51.33,3.28,Unique
48.2,3.3,Unique
48.97,3.3,Unique
50.37,3.3,Unique
49.38,3.32,Unique
45,3.33,Unique
49.33,3.33,Unique
49.57,3.33,Unique
51,3.33,Unique
48.45,3.35,Unique
49.63,3.35,Unique
47.98,3.38,Unique
49.6,3.38,Unique
50.32,3.38,Unique
50.62,3.38,Unique
49.05,3.4,Unique
45.95,3.42,Unique
43.78,3.45,Unique
48.07,3.45,Unique
51.08,3.45,Unique
51.2,3.45,Unique
49.5,3.47,Unique
50.03,3.47,Unique
46.37,3.5,Unique
47.47,3.5,Unique
48.49,3.5,Unique
48.5,3.5,Unique
50.18,3.5,Unique
50.4,3.5,Unique
51.57,3.5,Unique
49.6,3.52,Unique
47.53,3.53,Unique
49.4,3.53,Unique
49.63,3.53,Unique
50.37,3.53,Unique
51.4,3.53,Unique
51.5,3.53,Unique
47.8,3.55,Unique
48.73,3.55,Unique
51.38,3.55,Unique
50.65,3.56,Unique
51.53,3.58,Unique
47.98,3.6,Unique
46.15,3.63,Unique
49.57,3.63,Unique
48.44,3.65,Unique
50.4,3.65,Unique
49,3.67,Unique
49.1,3.67,Unique
49.33,3.67,Unique
50.25,3.67,Unique
51.5,3.67,Unique
43.42,3.7,Unique
43.45,3.7,Unique
49.07,3.7,Unique
49.3,3.7,Unique
48,3.72,Unique
48.52,3.72,Unique
49.36,3.72,Unique
50.17,3.73,Unique
51.7,3.73,Unique
50.5,3.75,Unique
51.05,3.75,Unique
50.42,3.8,Unique
50.58,3.8,Unique
50.43,3.82,Unique
46.08,3.83,Unique
49.35,3.83,Unique
50.2,3.83,Unique
50.47,3.83,Unique
51.33,3.83,Unique
51.7,3.83,Unique
43.6,3.88,Unique
48.52,3.88,Unique
49.43,3.9,Unique
49.65,3.9,Unique
51.1,3.9,Unique
48.72,3.92,Unique
50.12,3.93,Unique
50.45,3.95,Unique
44.3,3.97,Unique
47.87,3.97,Unique
44.23,4,Unique
46,4,Unique
48.52,4,Unique
48.68,4,Unique
51.47,4,Unique
49.25,4.03,Unique
49.17,4.05,Unique
50.08,4.05,Unique
48.3,4.07,Unique
49.93,4.07,Unique
50.95,4.1,Unique
51.92,4.1,Unique
51.97,4.12,Unique
43.68,4.13,Unique
46.2,4.13,Unique
50.45,4.18,Unique
48.67,4.2,Unique
50.47,4.2,Unique
50.48,4.2,Unique
51.92,4.25,Unique
51.5,4.28,Unique
51.43,4.3,Unique
52.08,4.3,Unique
50.6,4.32,Unique
43.33,4.33,Unique
44.75,4.33,Unique
51.9,4.35,Unique
43.83,4.37,Unique
45.4,4.37,Unique
47.9,4.37,Unique
48.95,4.37,Unique
49.45,4.37,Unique
50.87,4.37,Unique
51.07,4.37,Unique
49.13,4.38,Unique
50.42,4.38,Unique
51.9,4.38,Unique
45.43,4.4,Unique
46.07,4.4,Unique
50.88,4.4,Unique
52.13,4.4,Unique
50.7,4.42,Unique
51.22,4.42,Unique
45.9,4.43,Unique
46.8,4.43,Unique
50.4,4.47,Unique
51.53,4.47,Unique
51.92,4.47,Unique
51.03,4.48,Unique
48.5,4.5,Unique
52.17,4.52,Unique
48.37,4.53,Unique
46.87,4.55,Unique
49.23,4.55,Unique
52.38,4.55,Unique
50.67,4.57,Unique
50.83,4.57,Unique
48.72,4.58,Unique
50.17,4.6,Unique
52.47,4.6,Unique
50.23,4.62,Unique
50.25,4.62,Unique
43.67,4.63,Unique
44.37,4.63,Unique
51,4.63,Unique
51.7,4.63,Unique
52.35,4.63,Unique
43.58,4.65,Unique
43.8,4.65,Unique
44.27,4.65,Unique
51.8,4.65,Unique
52.38,4.65,Unique
43.33,4.67,Unique
43.67,4.67,Unique
47,4.67,Unique
47.5,4.67,Unique
43.9,4.68,Unique
45.37,4.7,Unique
50.88,4.7,Unique
45.93,4.72,Unique
49.32,4.72,Unique
49.78,4.72,Unique
50.87,4.72,Unique
44.43,4.73,Unique
49.77,4.73,Unique
44.55,4.75,Unique
44.77,4.75,Unique
45.47,4.75,Unique
44.8,4.77,Unique
45.87,4.77,Unique
52.63,4.77,Unique
52.9,4.77,Unique
52.97,4.77,Unique
45.58,4.78,Unique
44.13,4.8,Unique
43.95,4.82,Unique
45.18,4.82,Unique
51.53,4.83,Unique
45.77,4.85,Unique
50.97,4.85,Unique
43.97,4.87,Unique
44.17,4.87,Unique
44.75,4.87,Unique
50.6,4.87,Unique
51.72,4.87,Unique
44.87,4.88,Unique
48.18,4.88,Unique
50.3,4.88,Unique
50.47,4.88,Unique
44.93,4.9,Unique
50.13,4.9,Unique
51.6,4.9,Unique
52.38,4.92,Unique
50.8,4.93,Unique
51.53,4.93,Unique
49.7,4.95,Unique
43.52,4.97,Unique
48.63,4.97,Unique
52.37,4.97,Unique
48.83,4.98,Unique
43.33,5,Unique
48.33,5,Unique
49.35,5,Unique
50.72,5,Unique
43.55,5.02,Unique
44.55,5.03,Unique
47.33,5.05,Unique
50.97,5.05,Unique
43.63,5.1,Unique
50.47,5.1,Unique
51.2,5.12,Unique
49.82,5.15,Unique
45.25,5.17,Unique
49.5,5.17,Unique
47.45,5.2,Unique
50.5,5.2,Unique
50.8,5.2,Unique
51.87,5.2,Unique
50.8,5.22,Unique
43.47,5.23,Unique
45.93,5.23,Unique
48.12,5.23,Unique
44.67,5.25,Unique
50.52,5.25,Unique
47.98,5.27,Unique
51.12,5.27,Unique
43.27,5.28,Unique
47.8,5.28,Unique
49.2,5.3,Unique
50.95,5.3,Unique
51.65,5.3,Unique
51.7,5.3,Unique
52.12,5.3,Unique
45.67,5.33,Unique
46.13,5.33,Unique
48,5.33,Unique
48.33,5.33,Unique
43.2,5.35,Unique
43.28,5.37,Unique
43.3,5.37,Unique
43.38,5.37,Unique
45.97,5.37,Unique
60.38,5.4,Unique
45.95,5.43,Unique
46.32,5.43,Unique
50.77,5.47,Unique
51.43,5.47,Unique
46.42,5.49,Unique
47.1,5.5,Unique
52.67,5.5,Unique
50.63,5.52,Unique
48.47,5.53,Unique
48.55,5.53,Unique
50.62,5.53,Unique
44.97,5.57,Unique
51.8,5.57,Unique
49.75,5.58,Unique
50.62,5.58,Unique
50.63,5.58,Unique
43.17,5.6,Unique
52.37,5.62,Unique
36.75,5.67,Unique
43,5.67,Unique
45.77,5.67,Unique
50.33,5.67,Unique
51.63,5.67,Unique
45.77,5.68,Unique
50.85,5.68,Unique
50.73,5.7,Unique
45.18,5.72,Unique
49.92,5.72,Unique
50.02,5.72,Unique
50.9,5.73,Unique
51.97,5.73,Unique
53.47,5.75,Unique
58.97,5.77,Unique
45.85,5.78,Unique
50.13,5.78,Unique
45.57,5.8,Unique
48.92,5.8,Unique
50.6,5.8,Unique
53.22,5.8,Unique
49.47,5.82,Unique
49.17,5.87,Unique
51,5.87,Unique
52.45,5.87,Unique
52.1,5.88,Unique
47.82,5.9,Unique
50.27,5.9,Unique
43.08,5.92,Unique
49.97,5.92,Unique
51.7,5.92,Unique
51.98,5.92,Unique
43.08,5.93,Unique
43.12,5.93,Unique
44.18,5.93,Unique
45.57,5.93,Unique
50.6,5.93,Unique
45.59,5.94,Unique
50.2,5.95,Unique
47.28,5.97,Unique
50.7,5.97,Unique
50.18,5.98,Unique
51.2,5.98,Unique
43,6,Unique
43.33,6,Unique
48.43,6,Unique
48.53,6,Unique
49.33,6,Unique
49.35,6,Unique
49.5,6,Unique
49.67,6,Unique
50,6,Unique
52,6,Unique
46.65,6.02,Unique
43.42,6.03,Unique
50.05,6.03,Unique
52.35,6.03,Unique
52.38,6.03,Unique
50.63,6.05,Unique
48.33,6.07,Unique
48.65,6.07,Unique
50.03,6.07,Unique
51.78,6.07,Unique
48.63,6.08,Unique
50.78,6.08,Unique
45.85,6.1,Unique
49.52,6.1,Unique
49.6,6.1,Unique
50.2,6.1,Unique
43.47,6.12,Unique
45.9,6.12,Unique
49.62,6.12,Unique
50.93,6.12,Unique
50.97,6.12,Unique
52.52,6.12,Unique
52.8,6.12,Unique
43.28,6.13,Unique
45.57,6.13,Unique
48.77,6.13,Unique
48.78,6.13,Unique
50.05,6.13,Unique
50.28,6.13,Unique
51.78,6.13,Unique
45.95,6.15,Unique
49.15,6.15,Unique
51.37,6.15,Unique
51.67,6.15,Unique
49.36,6.17,Unique
49.12,6.18,Unique
52.7,6.18,Unique
43,6.2,Unique
48.7,6.2,Unique
50.88,6.2,Unique
51.62,6.2,Unique
52.68,6.2,Unique
49.92,6.22,Unique
50.45,6.22,Unique
52.13,6.22,Unique
43,6.23,Unique
51.55,6.23,Unique
52.17,6.23,Unique
15.82,6.25,Unique
50.77,6.25,Unique
50.8,6.25,Unique
51.82,6.25,Unique
50.08,6.27,Unique
50.18,6.27,Unique
50.88,6.28,Unique
51.03,6.28,Unique
51.33,6.28,Unique
49.07,6.3,Unique
49.67,6.3,Unique
51.08,6.3,Unique
51.52,6.3,Unique
52.12,6.3,Unique
48.47,6.32,Unique
48.87,6.32,Unique
49.85,6.32,Unique
43,6.33,Unique
43.33,6.33,Unique
44.33,6.33,Unique
44.67,6.33,Unique
45.5,6.33,Unique
45.67,6.33,Unique
48.2,6.33,Unique
49,6.33,Unique
49.67,6.33,Unique
50,6.33,Unique
50.15,6.33,Unique
50.33,6.33,Unique
50.67,6.33,Unique
50.82,6.33,Unique
51.33,6.33,Unique
51.67,6.33,Unique
51.75,6.33,Unique
46.37,6.35,Unique
50.9,6.35,Unique
50.92,6.35,Unique
51.67,6.35,Unique
43.08,6.37,Unique
49.02,6.37,Unique
50.1,6.37,Unique
50.15,6.37,Unique
50.37,6.37,Unique
50.83,6.37,Unique
51.33,6.37,Unique
51.47,6.37,Unique
48.55,6.38,Unique
48.65,6.38,Unique
51.27,6.38,Unique
51.73,6.4,Unique
46.62,6.42,Unique
49.8,6.42,Unique
50.2,6.42,Unique
50.55,6.42,Unique
51.13,6.42,Unique
51.15,6.42,Unique
51.2,6.42,Unique
51.37,6.42,Unique
51.55,6.42,Unique
52.17,6.42,Unique
43.13,6.43,Unique
49.73,6.43,Unique
50.13,6.43,Unique
50.35,6.43,Unique
50.48,6.43,Unique
50.57,6.43,Unique
50.75,6.43,Unique
51.05,6.43,Unique
51.17,6.43,Unique
52.3,6.43,Unique
53.37,6.43,Unique
50.7,6.45,Unique
51.65,6.45,Unique
43.03,6.47,Unique
48.18,6.47,Unique
49.83,6.47,Unique
50.15,6.47,Unique
50.63,6.47,Unique
50.75,6.47,Unique
51.57,6.47,Unique
52.37,6.47,Unique
44.55,6.48,Unique
48.6,6.48,Unique
50.58,6.48,Unique
50.8,6.48,Unique
48.78,6.5,Unique
49.8,6.5,Unique
50.57,6.5,Unique
51.38,6.5,Unique
49.5,6.52,Unique
49.98,6.52,Unique
52.32,6.52,Unique
43.17,6.53,Unique
43.3,6.53,Unique
50.35,6.53,Unique
50.5,6.53,Unique
50.83,6.53,Unique
51.05,6.53,Unique
51.27,6.53,Unique
43.9,6.55,Unique
50.53,6.55,Unique
50.65,6.55,Unique
50.53,6.57,Unique
50.73,6.57,Unique
50.77,6.57,Unique
50.85,6.57,Unique
50.93,6.57,Unique
49.7,6.58,Unique
50.15,6.58,Unique
50.55,6.58,Unique
50.63,6.58,Unique
53.12,6.58,Unique
50.2,6.6,Unique
50.32,6.6,Unique
50.33,6.6,Unique
50.88,6.6,Unique
51.1,6.6,Unique
48.65,6.62,Unique
50.05,6.62,Unique
